sport,city_tier,num_teams,num_matches,venue_capacity,team_size,tournament_days,has_existing_sponsor,format,sponsorship_tier,estimated_reach,cost_per_person,players_reach,family_reach,venue_reach,wom_reach,social_reach
cricket,3,4,6,300,11,2,0,league,silver,1354,11.08,44,84,294,69,66
basketball,2,8,7,800,5,2,0,knockout,gold,2116,11.81,40,54,900,64,414
cricket,3,32,31,300,11,2,1,knockout,bronze,3084,2.27,352,783,343,406,156
cricket,2,12,66,250,11,2,0,league,silver,5234,2.87,132,247,384,1246,145
basketball,1,14,91,1750,5,3,0,league,bronze,8678,0.81,70,93,3862,1109,2319
volleyball,2,10,45,300,6,3,1,league,silver,1464,10.25,60,70,419,274,196
volleyball,2,20,19,900,6,1,0,knockout,silver,868,17.28,120,159,376,117,142
kabaddi,1,20,104,500,7,5,0,league+knockout,silver,8119,1.85,140,234,1542,1623,826
kabaddi,3,24,276,350,7,4,0,league,gold,5828,4.29,168,275,655,1584,196
basketball,2,12,11,700,5,2,0,knockout,gold,2017,12.39,60,80,758,102,403
volleyball,2,8,28,500,6,2,0,league,bronze,924,7.58,48,57,442,229,185
badminton,3,10,26,400,2,4,0,league+knockout,silver,1362,11.01,20,26,618,108,107
basketball,1,8,28,1650,5,5,0,league,bronze,11421,0.61,40,61,6090,373,3245
kabaddi,3,32,496,300,7,2,0,league,silver,6052,2.48,224,377,242,2767,126
volleyball,2,24,149,600,6,5,1,league+knockout,silver,5523,2.72,144,187,1555,816,647
football,3,20,19,400,11,1,0,knockout,gold,2126,11.76,220,445,198,167,104
cricket,1,12,66,1500,11,2,0,league,silver,15754,0.95,132,262,2219,2469,1401
cricket,2,16,120,300,11,4,0,league,bronze,9174,0.76,176,444,747,3228,439
kabaddi,3,8,28,50,7,5,1,league,platinum,1393,35.89,56,97,116,208,35
badminton,3,8,7,400,2,1,0,knockout,silver,262,57.25,16,25,158,25,38
basketball,2,24,23,850,5,2,0,knockout,bronze,1519,4.61,120,204,904,170,363
football,1,16,120,650,11,2,0,league,gold,13165,1.9,176,298,986,3259,482
badminton,2,24,276,600,2,2,0,league,gold,4259,5.87,48,62,550,1608,256
badminton,1,24,23,1750,2,2,0,knockout,bronze,2534,2.76,48,67,1840,198,1226
kabaddi,3,8,7,200,7,1,0,knockout,silver,374,40.11,56,86,91,53,26
football,2,6,5,450,11,1,1,knockout,gold,1386,18.04,66,117,281,95,101
cricket,2,32,496,1000,11,4,0,league,bronze,23075,0.3,352,699,2241,8152,1217
badminton,2,16,120,800,2,2,1,league,gold,3523,7.1,32,42,726,746,318
basketball,1,16,120,1200,5,4,0,league,gold,11432,2.19,80,129,2995,1305,1382
cricket,3,16,120,150,11,5,1,league,gold,7964,3.14,176,423,334,1310,98
football,1,14,13,1450,11,2,1,knockout,silver,6930,2.16,154,289,2363,263,1056
football,3,12,11,150,11,2,0,knockout,platinum,1611,31.04,132,272,138,100,74
cricket,1,16,15,1400,11,2,0,knockout,gold,10102,2.47,176,369,2134,431,1380
kabaddi,1,16,15,1150,7,1,1,knockout,gold,3489,7.17,112,154,885,238,688
volleyball,3,10,26,350,6,6,1,league+knockout,bronze,1380,5.07,60,75,737,107,137
kabaddi,2,24,276,450,7,5,1,league,gold,9691,2.58,168,293,1080,2336,396
football,2,4,3,650,11,2,0,knockout,silver,2022,7.42,44,73,846,55,330
kabaddi,1,16,15,950,7,1,0,knockout,gold,2193,11.4,112,194,533,183,440
basketball,2,8,7,150,5,1,0,knockout,silver,355,42.25,40,65,82,69,53
volleyball,1,16,67,1800,6,6,1,league+knockout,silver,16871,0.89,96,130,6181,780,3043
football,1,12,11,400,11,2,0,knockout,gold,3324,7.52,132,257,600,327,457
kabaddi,1,12,11,550,7,2,1,knockout,silver,2158,6.95,84,135,796,200,391
cricket,3,20,19,200,11,2,0,knockout,bronze,1700,4.12,220,477,222,239,101
volleyball,2,8,28,200,6,3,0,league,gold,1068,23.41,48,56,261,202,99
basketball,2,6,5,400,5,2,1,knockout,bronze,667,10.49,30,40,375,56,189
cricket,1,14,51,1100,11,3,0,league+knockout,platinum,21666,2.31,154,377,2205,1448,993
football,2,6,9,750,11,4,0,league+knockout,silver,6826,2.2,66,126,1963,169,612
volleyball,3,24,276,150,6,5,0,league,gold,3083,8.11,144,223,252,1202,102
cricket,2,8,17,900,11,4,0,league+knockout,gold,13762,1.82,88,177,2256,409,1016
basketball,1,8,7,1800,5,1,0,knockout,platinum,3931,12.72,40,68,1260,77,834
volleyball,3,32,31,450,6,2,0,knockout,bronze,725,9.66,192,258,342,139,86
volleyball,1,4,4,1850,6,5,0,league+knockout,silver,14650,1.02,24,33,5793,50,4049
kabaddi,2,16,120,700,7,2,1,league,silver,4393,3.41,112,201,782,980,346
volleyball,2,12,38,200,6,6,0,league+knockout,bronze,1205,5.81,72,89,508,236,186
football,2,10,26,700,11,3,1,league+knockout,platinum,10206,4.9,110,217,1312,429,545
football,1,16,67,500,11,3,1,league+knockout,gold,12737,1.96,176,348,1056,1590,743
badminton,1,16,120,1100,2,5,0,league,silver,7610,1.97,32,48,2950,1073,1534
volleyball,3,32,263,450,6,6,1,league+knockout,silver,4667,3.21,192,251,989,1171,227
basketball,3,8,28,450,5,4,1,league,platinum,2955,16.92,40,53,750,133,157
football,2,8,28,350,11,2,1,league,silver,2783,5.39,88,147,348,494,150
basketball,1,8,28,1700,5,5,0,league,silver,14770,1.02,40,64,6104,411,2895
football,2,10,9,350,11,2,1,knockout,platinum,2444,20.46,110,211,363,144,142
basketball,3,6,15,500,5,4,0,league,silver,1528,9.82,30,48,682,79,145
volleyball,2,6,9,300,6,5,0,league+knockout,silver,1711,8.77,36,54,785,55,232
basketball,3,8,17,300,5,5,1,league+knockout,silver,2182,6.87,40,68,671,112,202
volleyball,1,16,120,350,6,3,0,league,gold,3360,7.44,96,126,510,982,382
basketball,1,14,51,1350,5,5,0,league+knockout,gold,15548,1.61,70,102,3765,737,2304
football,3,8,28,450,11,5,0,league,platinum,5376,9.3,88,155,927,340,260
volleyball,3,8,28,500,6,2,1,league,bronze,762,9.19,48,70,414,96,79
football,2,6,15,300,11,2,1,league,silver,2243,6.69,66,108,355,257,203
volleyball,1,8,17,1550,6,3,0,league+knockout,gold,7885,3.17,48,63,2371,143,1659
cricket,3,16,120,400,11,4,1,league,bronze,5964,1.17,176,334,861,1388,163
basketball,3,8,7,100,5,1,0,knockout,silver,218,68.81,40,60,38,38,14
kabaddi,1,8,17,1900,7,6,1,league+knockout,gold,26878,0.93,56,99,6967,202,2998
volleyball,1,16,15,1450,6,2,0,knockout,gold,4116,6.07,96,138,1888,183,1161
badminton,2,8,7,1000,2,2,0,knockout,silver,1204,12.46,16,23,851,46,268
basketball,1,8,7,350,5,1,0,knockout,bronze,516,13.57,40,65,256,95,142
volleyball,1,8,28,2000,6,2,0,league,bronze,3925,1.78,48,72,2511,313,1137
basketball,2,4,6,650,5,3,0,league,platinum,3398,14.71,20,30,895,65,449
badminton,3,20,190,350,2,3,0,league,silver,1851,8.1,40,56,433,719,123
badminton,1,16,15,950,2,2,0,knockout,bronze,1831,3.82,32,47,1319,146,897
volleyball,3,14,91,300,6,2,0,league,platinum,1626,30.75,84,104,202,391,64
cricket,2,16,67,550,11,4,0,league+knockout,bronze,8339,0.84,176,356,1278,1573,602
badminton,3,24,23,350,2,2,0,knockout,bronze,388,18.04,48,59,246,119,46
volleyball,1,8,7,800,6,2,1,knockout,gold,1845,13.55,48,60,841,62,376
volleyball,3,20,19,150,6,2,0,knockout,silver,504,29.76,120,183,102,85,40
kabaddi,2,20,104,800,7,4,1,league+knockout,bronze,6764,1.03,140,242,1794,1308,845
kabaddi,1,8,7,1350,7,1,1,knockout,gold,2987,8.37,56,79,926,85,632
kabaddi,1,8,17,1800,7,4,0,league+knockout,gold,15415,1.62,56,94,4369,290,1821
cricket,2,6,9,750,11,4,0,league+knockout,silver,8317,1.8,66,166,1768,208,773
basketball,1,32,31,1550,5,1,0,knockout,platinum,3845,13.0,160,206,864,479,520
football,1,20,19,1700,11,2,0,knockout,silver,7414,2.02,220,419,2717,444,1143
football,2,8,17,500,11,3,0,league+knockout,bronze,3024,2.31,88,143,930,218,355
cricket,1,16,120,1850,11,2,1,league,silver,22981,0.65,176,350,2684,4102,1132
cricket,1,12,11,400,11,2,1,knockout,silver,3631,4.13,132,251,676,261,481
badminton,1,24,149,1500,2,6,1,league+knockout,silver,16311,0.92,48,71,5213,1654,2410
volleyball,2,16,15,950,6,2,0,knockout,gold,2053,12.18,96,116,951,126,440
cricket,1,16,120,750,11,4,1,league,bronze,16248,0.43,176,440,2244,4088,1012
football,2,16,15,250,11,2,0,knockout,silver,1683,8.91,176,279,252,246,169
cricket,3,24,23,300,11,1,0,knockout,silver,2425,6.19,264,535,171,301,76
kabaddi,3,16,120,100,7,5,0,league,gold,2876,8.69,112,164,182,902,60
football,3,8,28,300,11,5,0,league,bronze,1971,3.55,88,154,628,271,157
badminton,3,8,28,400,2,2,0,league,bronze,520,13.46,16,25,272,153,48
kabaddi,2,8,7,450,7,1,0,knockout,bronze,539,12.99,56,82,256,66,139
badminton,3,8,7,500,2,2,0,knockout,gold,715,34.97,16,23,426,30,77
cricket,3,6,5,400,11,2,0,knockout,silver,1499,10.01,66,127,455,51,134
football,2,20,19,750,11,1,1,knockout,silver,2797,5.36,220,432,400,367,246
kabaddi,2,24,23,400,7,1,0,knockout,bronze,935,7.49,168,238,197,283,153
football,3,20,104,50,11,3,0,league+knockout,gold,5656,4.42,220,433,75,1145,73
cricket,2,16,15,450,11,2,1,knockout,silver,3623,4.14,176,393,620,342,266
cricket,3,16,15,50,11,2,1,knockout,silver,1843,8.14,176,397,60,214,67
kabaddi,1,16,15,1500,7,2,1,knockout,silver,4352,3.45,112,199,1904,243,780
volleyball,1,4,6,700,6,4,1,league,bronze,2658,2.63,24,34,1418,69,922
cricket,3,16,67,350,11,5,1,league+knockout,bronze,6710,1.04,176,335,1048,1025,279
basketball,2,24,149,600,5,5,0,league+knockout,silver,6467,2.32,120,174,1429,1348,557
basketball,2,10,9,950,5,1,0,knockout,silver,1025,14.63,50,84,524,71,162
volleyball,3,20,19,350,6,1,1,knockout,bronze,432,16.2,120,143,140,93,45
football,1,16,15,1500,11,1,0,knockout,platinum,6386,7.83,176,354,1100,404,804
badminton,1,16,15,700,2,2,0,knockout,bronze,1284,5.45,32,39,964,132,545
football,2,16,67,700,11,4,0,league+knockout,bronze,6741,1.04,176,296,1427,1246,721
kabaddi,2,16,15,700,7,1,0,knockout,bronze,1041,6.72,112,199,429,186,231
kabaddi,2,20,19,200,7,1,1,knockout,platinum,1591,31.43,140,257,126,171,95
kabaddi,1,10,26,750,7,3,0,league+knockout,bronze,3838,1.82,70,104,1282,456,839
badminton,2,10,9,400,2,1,0,knockout,silver,394,38.07,20,31,201,74,68
kabaddi,2,20,19,850,7,2,0,knockout,bronze,1757,3.98,140,206,1029,248,329
football,2,16,67,250,11,3,0,league+knockout,bronze,4393,1.59,176,293,461,1301,288
football,3,8,28,450,11,5,0,league,silver,3779,3.97,88,156,1046,255,321
badminton,2,6,5,200,2,1,0,knockout,bronze,135,51.85,12,15,85,35,33
kabaddi,3,32,263,300,7,6,0,league+knockout,silver,5861,2.56,224,407,850,1490,180
badminton,2,8,7,650,2,1,1,knockout,bronze,466,15.02,16,24,331,40,144
volleyball,1,24,23,1350,6,1,0,knockout,silver,1647,9.11,144,173,684,287,446
football,2,32,496,400,11,2,1,league,gold,29535,0.85,352,706,414,8693,253
kabaddi,1,8,17,700,7,6,0,league+knockout,silver,7222,2.08,56,76,2353,224,1174
volleyball,1,12,11,1500,6,2,0,knockout,silver,3202,4.68,72,90,1898,129,1181
football,2,32,31,650,11,1,0,knockout,platinum,4558,10.97,352,539,349,493,293
badminton,1,8,17,850,2,5,0,league+knockout,gold,7891,3.17,16,23,2243,209,1582
football,3,16,67,400,11,6,0,league+knockout,silver,6071,2.47,176,363,945,826,301
kabaddi,1,12,66,300,7,2,1,league,gold,3890,6.43,84,121,364,875,271
cricket,1,20,19,1500,11,1,0,knockout,silver,5593,2.68,220,432,1173,686,596
cricket,3,16,15,350,11,1,0,knockout,bronze,1498,4.67,176,424,193,229,88
badminton,2,8,28,600,2,3,0,league,gold,2368,10.56,16,25,907,189,266
football,2,12,11,450,11,2,0,knockout,bronze,1467,4.77,132,226,537,165,244
badminton,3,8,28,150,2,5,1,league,platinum,1073,46.6,16,19,262,97,79
kabaddi,3,10,45,350,7,5,0,league,platinum,3893,12.84,70,103,846,333,250
cricket,2,16,120,400,11,3,0,league,silver,9637,1.56,176,349,845,2121,475
basketball,1,20,190,1750,5,3,0,league,bronze,8790,0.8,100,134,3017,2295,2003
kabaddi,1,14,91,1250,7,2,0,league,silver,7031,2.13,98,149,1433,1626,1034
cricket,2,24,149,650,11,4,0,league+knockout,gold,23893,1.05,264,526,1468,3853,740
football,3,20,19,100,11,2,0,knockout,silver,1514,9.91,220,361,101,240,87
basketball,2,16,120,400,5,2,1,league,silver,3182,4.71,80,134,480,953,183
basketball,3,6,9,500,5,4,0,league+knockout,silver,1813,8.27,30,45,713,50,179
kabaddi,3,8,7,150,7,1,0,knockout,gold,414,60.39,56,78,74,45,23
kabaddi,2,12,66,950,7,3,1,league,bronze,4104,1.71,84,146,1563,694,529
kabaddi,1,8,7,1650,7,1,0,knockout,silver,2502,6.0,56,88,1180,102,659
badminton,3,16,15,300,2,1,0,knockout,bronze,232,30.17,32,42,126,71,39
kabaddi,2,20,104,650,7,5,1,league+knockout,bronze,6609,1.06,140,255,1693,1335,807
football,2,16,15,650,11,1,0,knockout,gold,2541,9.84,176,358,378,292,151
football,2,10,9,700,11,2,0,knockout,silver,2638,5.69,110,221,900,167,361
basketball,1,16,15,1750,5,1,0,knockout,silver,2652,5.66,80,124,1151,162,789
football,1,16,15,1950,11,2,0,knockout,bronze,5312,1.32,176,307,2391,391,1457
badminton,2,16,67,900,2,4,0,league+knockout,silver,4951,3.03,32,49,1784,556,773
badminton,2,12,66,250,2,4,0,league,bronze,1320,5.3,24,29,471,561,219
football,2,10,9,400,11,1,1,knockout,silver,1522,9.86,110,210,262,188,136
volleyball,2,24,276,850,6,3,1,league,silver,5444,2.76,144,186,1131,1885,444
badminton,2,8,7,550,2,1,0,knockout,bronze,342,20.47,16,19,256,58,107
basketball,1,24,23,1350,5,1,0,knockout,silver,2272,6.6,120,185,843,245,583
badminton,3,16,15,200,2,1,0,knockout,silver,258,58.14,32,48,82,71,25
kabaddi,3,24,23,200,7,2,0,knockout,bronze,807,8.67,168,306,180,178,65
kabaddi,3,16,15,200,7,2,1,knockout,bronze,631,11.09,112,184,158,109,63
volleyball,3,8,17,100,6,5,1,league+knockout,platinum,1044,47.89,48,71,165,94,44
cricket,2,16,120,250,11,2,1,league,bronze,6320,1.11,176,380,340,1969,231
basketball,3,16,67,100,5,6,0,league+knockout,gold,1963,12.74,80,116,258,339,88
football,2,16,15,850,11,1,1,knockout,gold,3429,7.29,176,335,564,303,255
football,1,14,13,1700,11,2,1,knockout,gold,8639,2.89,154,269,2166,238,1287
cricket,3,24,276,200,11,2,0,league,silver,12794,1.17,264,527,189,4195,90
volleyball,2,8,7,950,6,2,0,knockout,bronze,842,8.31,48,62,787,46,239
kabaddi,1,16,120,400,7,3,0,league,silver,4789,3.13,112,204,673,1656,311
cricket,2,8,28,550,11,3,0,league,bronze,4520,1.55,88,182,1066,702,442
football,2,14,51,200,11,6,0,league+knockout,silver,4841,3.1,154,275,651,659,343
cricket,1,8,17,1200,11,3,0,league+knockout,silver,13643,1.1,88,188,2764,542,1308
basketball,2,24,149,850,5,5,0,league+knockout,silver,8907,1.68,120,176,2123,1578,1000
football,3,24,23,200,11,1,1,knockout,gold,2449,10.21,264,466,88,283,65
cricket,2,12,66,200,11,2,0,league,silver,5132,2.92,132,302,241,1287,150
kabaddi,3,16,67,450,7,3,1,league+knockout,bronze,2156,3.25,112,183,585,388,112
basketball,3,8,7,350,5,1,0,knockout,bronze,267,26.22,40,54,141,35,40
kabaddi,2,8,28,350,7,3,0,league,silver,2009,7.47,56,94,592,269,229
cricket,2,16,67,700,11,3,0,league+knockout,gold,12454,2.01,176,382,1390,1110,513
cricket,2,14,13,300,11,2,0,knockout,gold,3015,8.29,154,302,361,338,185
kabaddi,2,12,66,900,7,5,0,league,bronze,5131,1.36,84,152,2133,769,1085
basketball,3,8,7,100,5,1,1,knockout,silver,252,59.52,40,54,37,44,21
cricket,3,16,120,250,11,3,0,league,bronze,4348,1.61,176,385,380,1329,116
basketball,1,16,15,400,5,2,1,knockout,bronze,1077,6.5,80,109,446,192,288
cricket,1,8,28,350,11,5,0,league,platinum,11358,4.4,88,214,1240,764,810
basketball,2,12,38,450,5,6,0,league+knockout,silver,4216,3.56,60,91,1190,439,585
basketball,1,24,149,350,5,6,0,league+knockout,gold,10044,2.49,120,198,1153,2471,566
basketball,3,12,38,450,5,5,0,league+knockout,silver,2888,5.19,60,99,934,248,279
basketball,3,24,276,350,5,2,1,league,bronze,3303,2.12,120,155,307,1841,110
kabaddi,3,16,15,250,7,2,0,knockout,gold,1101,22.71,112,200,240,82,100
basketball,2,8,7,250,5,1,0,knockout,silver,419,35.8,40,61,137,51,75
football,2,8,28,500,11,5,0,league,gold,6629,3.77,88,158,1349,353,671
volleyball,2,14,91,800,6,2,0,league,silver,2357,6.36,84,100,624,780,250
cricket,2,16,120,350,11,2,1,league,silver,9847,1.52,176,410,480,2262,290
volleyball,2,16,67,350,6,5,0,league+knockout,silver,2608,5.75,96,112,799,440,324
cricket,2,8,28,750,11,3,0,league,gold,9617,2.6,88,169,1664,608,637
football,1,32,31,1700,11,1,1,knockout,bronze,4721,1.48,352,669,1079,714,933
kabaddi,1,32,31,1500,7,1,1,knockout,silver,3617,4.15,224,410,1052,475,530
badminton,2,10,45,300,2,3,0,league,silver,1332,11.26,20,27,441,298,201
cricket,3,20,19,400,11,2,0,knockout,bronze,2063,3.39,220,471,463,265,109
kabaddi,3,8,28,150,7,5,0,league,gold,1683,14.85,56,98,357,213,107
football,3,10,9,400,11,1,1,knockout,silver,1151,13.03,110,197,209,93,76
volleyball,1,10,26,400,6,5,0,league+knockout,silver,3459,4.34,60,81,1193,229,786
basketball,1,14,91,1950,5,3,1,league,bronze,8565,0.82,70,111,3212,1240,1935
badminton,2,14,91,600,2,3,1,league,platinum,4110,12.17,28,38,782,740,224
badminton,2,8,28,150,2,5,0,league,gold,1281,19.52,16,21,425,173,124
kabaddi,3,32,496,350,7,4,0,league,silver,7050,2.13,224,350,658,2898,222
football,3,16,15,300,11,1,1,knockout,silver,1522,9.86,176,351,147,174,58
badminton,2,16,67,550,2,5,0,league+knockout,silver,3506,4.28,32,41,1297,423,469
kabaddi,3,16,67,150,7,4,0,league+knockout,silver,1951,7.69,112,195,255,400,87
basketball,1,8,17,1200,5,6,0,league+knockout,silver,12333,1.22,40,55,4285,273,2266
football,2,16,67,550,11,5,0,league+knockout,bronze,7373,0.95,176,326,1875,934,917
kabaddi,1,20,190,1700,7,3,1,league,gold,16116,1.55,140,205,3105,2181,1475
football,2,12,11,950,11,1,1,knockout,silver,2355,6.37,132,250,492,224,304
cricket,2,8,17,700,11,4,0,league+knockout,bronze,6259,1.12,88,183,1627,377,716
badminton,1,14,91,800,2,3,0,league,silver,4699,3.19,28,43,1612,914,884
volleyball,2,8,7,900,6,2,0,knockout,bronze,1032,6.78,48,57,853,53,438
kabaddi,3,14,13,200,7,1,1,knockout,bronze,445,15.73,98,142,85,82,34
kabaddi,2,32,31,250,7,2,0,knockout,platinum,2740,18.25,224,403,255,412,228
volleyball,1,10,26,950,6,6,0,league+knockout,silver,9297,1.61,60,89,3484,253,2428
volleyball,3,32,263,450,6,6,1,league+knockout,silver,4835,3.1,192,235,851,1448,206
football,2,16,120,200,11,3,1,league,bronze,5353,1.31,176,336,313,2169,153
badminton,2,4,6,200,2,3,0,league,bronze,499,14.03,8,13,300,54,118
badminton,2,16,67,800,2,4,0,league+knockout,gold,5712,4.38,32,47,1672,530,667
basketball,2,20,190,250,5,4,0,league,silver,4553,3.29,100,129,534,1949,221
badminton,1,8,7,1050,2,2,1,knockout,silver,2388,6.28,16,20,1386,88,622
kabaddi,2,16,120,300,7,3,1,league,gold,5402,4.63,112,186,538,1336,210
cricket,2,8,17,850,11,3,1,league+knockout,platinum,12810,3.9,88,222,1451,435,537
cricket,3,20,19,500,11,2,1,knockout,gold,4173,5.99,220,443,541,275,177
kabaddi,1,16,67,1700,7,3,0,league+knockout,gold,15443,1.62,112,203,3559,812,1956
football,3,14,13,400,11,1,0,knockout,silver,1280,11.72,154,299,200,105,95
badminton,2,10,9,450,2,1,0,knockout,silver,432,34.72,20,24,234,65,89
football,2,4,6,650,11,3,1,league,bronze,2839,2.47,44,80,1024,105,416
cricket,1,8,7,1600,11,1,0,knockout,silver,4968,3.02,88,209,1310,212,941
football,2,8,7,300,11,1,0,knockout,silver,1028,14.59,88,180,184,142,91
cricket,1,16,120,1650,11,4,0,league,gold,44660,0.56,176,409,5865,4590,3663
basketball,2,32,263,450,5,4,0,league+knockout,platinum,11139,4.49,160,214,963,2511,318
cricket,1,24,276,1600,11,3,0,league,bronze,28865,0.24,264,554,3929,8295,2796
football,3,10,9,300,11,2,1,knockout,platinum,1925,25.97,110,218,240,112,84
kabaddi,2,16,120,850,7,2,0,league,bronze,4065,1.72,112,160,940,1620,514
badminton,2,24,276,350,2,2,0,league,gold,4614,5.42,48,60,351,2106,169
volleyball,1,6,15,1850,6,4,1,league,gold,10588,2.36,36,51,3953,179,1678
volleyball,3,16,15,200,6,2,0,knockout,silver,428,35.05,96,114,130,66,44
badminton,2,16,67,600,2,3,1,league+knockout,gold,3821,6.54,32,45,821,592,271
kabaddi,2,16,67,200,7,4,0,league+knockout,gold,4043,6.18,112,188,482,710,247
kabaddi,1,32,31,1500,7,1,1,knockout,silver,3360,4.46,224,393,892,483,508
volleyball,1,24,23,900,6,2,1,knockout,silver,2262,6.63,144,209,948,248,577
cricket,2,16,15,550,11,2,0,knockout,silver,3287,4.56,176,357,706,264,323
football,2,8,7,800,11,2,0,knockout,bronze,2028,3.45,88,152,1031,133,399
volleyball,2,8,17,750,6,6,0,league+knockout,gold,6100,4.1,48,67,2215,93,891
cricket,1,6,15,1050,11,2,0,league,bronze,6838,1.02,66,144,1865,389,1288
volleyball,2,24,23,150,6,1,0,knockout,bronze,422,16.59,144,191,63,136,58
kabaddi,2,12,11,850,7,2,1,knockout,bronze,1697,4.12,84,134,935,131,400
volleyball,3,20,190,200,6,3,0,league,gold,2384,10.49,120,158,206,917,86
basketball,1,16,15,1750,5,2,0,knockout,bronze,3571,1.96,80,122,2226,190,1522
basketball,3,6,15,350,5,3,0,league,silver,1077,13.93,30,48,426,73,117
cricket,1,16,120,300,11,3,0,league,bronze,10598,0.66,176,402,688,4019,530
badminton,2,20,19,550,2,1,0,knockout,bronze,415,16.87,40,61,246,120,86
badminton,1,24,276,1850,2,2,1,league,platinum,13579,3.68,48,76,2054,2855,954
cricket,1,16,67,450,11,4,0,league+knockout,silver,13169,1.14,176,405,1272,2301,566
football,1,14,51,1450,11,3,0,league+knockout,silver,13627,1.1,154,246,2749,1212,1500
football,1,16,15,800,11,1,0,knockout,bronze,2188,3.2,176,270,656,344,499
badminton,1,12,11,1900,2,2,0,knockout,bronze,2709,2.58,24,39,2167,92,1290
football,2,20,190,550,11,4,0,league,gold,15620,1.6,220,396,1409,3486,660
kabaddi,2,14,51,500,7,6,1,league+knockout,gold,8226,3.04,98,145,1598,608,710
football,3,8,7,400,11,1,1,knockout,platinum,1504,33.24,88,164,201,84,60
football,1,12,66,1850,11,5,1,league,silver,27477,0.55,132,210,7076,1365,3332
badminton,1,24,276,850,2,3,1,league,bronze,5442,1.29,48,63,1622,2391,675
kabaddi,1,16,15,1700,7,2,0,knockout,bronze,4023,1.74,112,191,2574,258,1335
football,2,6,9,150,11,5,1,league+knockout,bronze,1742,4.02,66,110,425,137,154
cricket,1,16,120,1000,11,4,0,league,silver,21102,0.71,176,404,3227,3515,1362
cricket,2,10,45,800,11,5,0,league,silver,12881,1.16,110,266,2742,1180,1003
badminton,2,16,120,950,2,4,0,league,silver,4560,3.29,32,51,1826,856,613
basketball,1,32,31,1600,5,1,0,knockout,silver,2842,5.28,160,235,1079,322,675
football,2,8,17,900,11,4,1,league+knockout,gold,11435,2.19,88,148,2341,289,647
kabaddi,1,16,15,900,7,2,1,knockout,bronze,2791,2.51,112,197,1282,285,893
volleyball,3,24,276,450,6,2,0,league,bronze,1995,3.51,144,215,340,1268,107
volleyball,3,16,15,450,6,2,0,knockout,bronze,502,13.94,96,142,299,75,93
volleyball,1,8,7,450,6,1,0,knockout,platinum,855,58.48,48,70,245,78,159
basketball,3,16,67,300,5,3,1,league+knockout,gold,2855,8.76,80,135,408,420,101
badminton,2,8,7,800,2,1,0,knockout,silver,645,23.26,16,23,397,40,169
basketball,1,16,67,1800,5,4,1,league+knockout,bronze,13684,0.51,80,110,5164,893,2892
kabaddi,2,10,45,600,7,2,0,league,silver,2816,5.33,70,101,758,485,324
football,2,16,67,900,11,5,0,league+knockout,silver,11855,1.27,176,323,2787,973,840
kabaddi,3,12,11,200,7,1,0,knockout,silver,485,30.93,84,135,87,69,29
cricket,1,8,17,850,11,3,0,league+knockout,bronze,7606,0.92,88,174,1728,647,998
basketball,2,4,3,200,5,2,1,knockout,silver,439,34.17,20,32,180,26,83
kabaddi,2,8,7,850,7,2,1,knockout,bronze,1676,4.18,56,83,970,72,482
basketball,3,4,6,400,5,4,0,league,gold,1595,15.67,20,33,565,39,165
volleyball,2,12,11,550,6,1,1,knockout,gold,822,30.41,72,103,224,77,142
badminton,2,16,67,850,2,3,0,league+knockout,bronze,2744,2.55,32,41,1382,505,400
basketball,3,20,19,350,5,1,0,knockout,bronze,451,15.52,100,138,145,91,49
football,3,12,11,400,11,1,0,knockout,silver,1020,14.71,132,242,157,101,48
cricket,1,8,17,950,11,3,1,league+knockout,gold,17054,1.47,88,177,2163,440,1498
football,3,16,120,450,11,4,1,league,bronze,4615,1.52,176,320,843,1136,238
badminton,3,8,17,200,2,5,0,league+knockout,silver,930,16.13,16,24,386,77,97
football,2,4,3,750,11,1,1,knockout,silver,1537,9.76,44,79,485,59,248
badminton,2,10,45,950,2,5,0,league,bronze,3783,1.85,20,25,2635,335,721
cricket,3,16,120,200,11,4,1,league,silver,7155,2.1,176,420,360,1565,108
badminton,3,24,276,300,2,2,0,league,gold,2977,8.4,48,73,208,1389,46
cricket,1,8,28,1750,11,3,0,league,bronze,13616,0.51,88,203,4495,850,1835
football,2,16,120,500,11,4,0,league,silver,7883,1.9,176,282,1167,1644,624
basketball,2,16,120,300,5,2,0,league,silver,3051,4.92,80,136,341,1205,203
badminton,3,14,91,200,2,3,0,league,silver,964,15.56,28,38,209,393,46
volleyball,3,20,19,450,6,2,0,knockout,bronze,537,13.04,120,184,276,91,82
badminton,2,20,104,300,2,4,1,league+knockout,silver,2576,5.82,40,49,540,608,247
badminton,2,16,67,900,2,3,0,league+knockout,gold,4881,5.12,32,48,1272,582,585
volleyball,2,16,67,200,6,5,0,league+knockout,gold,2908,8.6,96,136,490,588,270
badminton,1,10,26,1550,2,6,0,league+knockout,silver,13677,1.1,20,26,5134,309,3335
cricket,3,20,104,150,11,5,1,league+knockout,gold,8570,2.92,220,455,335,1095,89
football,2,14,13,350,11,2,0,knockout,gold,2447,10.22,154,306,400,172,273
football,2,16,120,400,11,4,0,league,gold,10009,2.5,176,340,1090,1776,572
basketball,3,16,15,250,5,1,0,knockout,silver,521,28.79,80,117,108,112,36
cricket,1,14,13,1800,11,1,0,knockout,bronze,4439,1.58,154,327,1411,437,959
