sport,city_tier,current_registrations,days_since_open,total_days_available,max_teams,entry_fee,prize_pool,has_sponsor,format,fill_percentage,days_remaining,projected_registrations,fill_rate,label
volleyball,3,22,2,5,32,1000,10500,0,league,68.8,3,46.0,1.437,oversubscribed
kabaddi,1,4,4,9,16,1200,28000,0,knockout,25.0,5,11.4,0.71,wont_fill
badminton,3,9,4,12,12,650,1000,0,knockout,75.0,8,18.0,2.177,oversubscribed
basketball,2,2,2,5,8,1950,10000,0,knockout,25.0,3,7.6,0.953,will_fill
football,1,4,4,6,8,3700,37000,0,league+knockout,50.0,2,8.8,1.103,will_fill
basketball,3,3,13,13,16,200,6500,0,knockout,18.8,0,3.2,0.202,wont_fill
kabaddi,2,24,11,12,24,2900,12000,0,knockout,100.0,1,27.0,1.125,will_fill
volleyball,1,3,4,14,24,1050,5000,0,league+knockout,12.5,10,14.2,0.591,wont_fill
volleyball,2,6,5,6,10,650,15000,0,league+knockout,60.0,1,8.1,0.813,wont_fill
cricket,2,8,5,8,8,2000,3000,0,knockout,100.0,3,12.0,2.135,oversubscribed
football,2,8,12,21,14,450,23500,0,knockout,57.1,9,21.0,2.026,oversubscribed
cricket,3,5,5,17,16,1200,2000,1,league,31.2,12,20.2,1.264,oversubscribed
volleyball,3,30,1,6,32,1250,8500,0,league,93.8,5,48.0,3.958,oversubscribed
football,2,3,3,17,16,2000,7000,0,league,18.8,14,19.4,1.211,oversubscribed
badminton,2,4,5,21,8,900,4500,0,knockout,50.0,16,12.0,2.817,oversubscribed
badminton,2,7,7,9,16,1200,6000,1,knockout,43.8,2,12.6,0.79,wont_fill
badminton,2,4,1,20,8,1950,13500,0,league,50.0,19,12.0,11.341,oversubscribed
basketball,3,3,20,20,8,550,6500,0,knockout,37.5,0,2.6,0.323,wont_fill
cricket,2,3,10,10,16,2000,18500,0,league+knockout,18.8,0,1.7,0.106,wont_fill
basketball,3,11,5,5,32,800,2000,0,league,34.4,0,12.5,0.392,wont_fill
badminton,1,16,3,10,16,1900,37000,0,knockout,100.0,7,24.0,5.498,oversubscribed
badminton,2,9,3,5,24,800,24500,0,league,37.5,2,20.9,0.869,will_fill
badminton,2,18,6,12,32,1050,11000,0,knockout,56.2,6,44.6,1.395,oversubscribed
basketball,3,3,4,13,10,1100,1500,0,league+knockout,30.0,9,8.0,0.801,wont_fill
basketball,2,5,8,13,8,1700,9000,1,league,62.5,5,10.2,1.273,oversubscribed
football,2,2,2,20,16,700,8500,1,league,12.5,18,24.0,1.964,oversubscribed
volleyball,1,2,7,7,16,3350,5000,1,knockout,12.5,0,2.7,0.169,wont_fill
badminton,2,7,7,7,16,1200,12000,0,league,43.8,0,6.6,0.411,wont_fill
basketball,2,9,4,18,20,2850,6500,0,league+knockout,45.0,14,30.0,2.204,oversubscribed
basketball,2,3,3,9,8,2650,6500,0,league,37.5,6,8.2,1.028,will_fill
volleyball,2,11,2,11,24,2050,6000,0,knockout,45.8,9,36.0,2.867,oversubscribed
volleyball,2,1,3,5,16,1550,10000,1,knockout,6.2,2,0.0,0.0,wont_fill
badminton,2,6,7,13,8,1100,24500,0,league,75.0,6,12.0,1.744,oversubscribed
kabaddi,1,0,4,5,4,3150,8500,0,league+knockout,0.0,1,0.0,0.0,wont_fill
kabaddi,3,2,2,16,14,1150,3500,1,knockout,14.3,14,13.6,0.971,will_fill
volleyball,2,15,2,19,24,1300,17000,0,knockout,62.5,17,36.0,6.872,oversubscribed
badminton,2,4,3,8,24,1250,23000,1,knockout,16.7,5,11.9,0.495,wont_fill
cricket,2,3,2,21,8,2400,23500,1,league+knockout,37.5,19,12.0,6.336,oversubscribed
cricket,3,8,3,17,16,1500,6500,1,knockout,50.0,14,24.0,3.714,oversubscribed
badminton,2,3,2,9,8,2500,1500,1,league,37.5,7,12.0,1.865,oversubscribed
kabaddi,1,8,2,5,16,2850,30500,0,league,50.0,3,24.0,1.574,oversubscribed
badminton,1,3,3,6,20,3800,36000,0,league,15.0,3,8.1,0.403,wont_fill
kabaddi,3,4,5,5,10,500,12000,0,league,40.0,0,3.4,0.337,wont_fill
volleyball,2,5,2,11,6,900,5500,1,knockout,83.3,9,9.0,5.978,oversubscribed
basketball,1,3,12,14,20,4000,12000,0,league,15.0,2,5.1,0.255,wont_fill
football,2,9,16,19,16,1650,5000,0,league+knockout,56.2,3,13.6,0.852,will_fill
cricket,2,12,7,15,24,900,4000,0,league+knockout,50.0,8,31.7,1.322,oversubscribed
basketball,3,3,5,16,8,250,8000,0,league,37.5,11,10.7,1.336,oversubscribed
kabaddi,3,3,16,17,16,150,5000,0,league+knockout,18.8,1,4.0,0.249,wont_fill
kabaddi,1,3,17,19,20,2150,25500,1,knockout,15.0,2,4.5,0.225,wont_fill
kabaddi,2,1,5,21,4,1100,18500,1,league,25.0,16,6.0,1.515,oversubscribed
basketball,2,2,11,11,12,1150,23000,0,knockout,16.7,0,1.0,0.086,wont_fill
football,1,21,3,14,32,1750,37500,0,knockout,65.6,11,48.0,5.846,oversubscribed
cricket,2,3,3,11,10,2200,7500,0,league,30.0,8,14.2,1.423,oversubscribed
kabaddi,2,15,3,15,20,2350,20500,1,league,75.0,12,30.0,3.694,oversubscribed
basketball,3,20,1,15,24,450,11500,1,knockout,83.3,14,36.0,15.193,oversubscribed
football,1,1,4,19,16,3150,22500,1,knockout,6.2,15,9.7,0.604,wont_fill
basketball,2,1,7,8,8,1150,2000,1,league,12.5,1,1.8,0.224,wont_fill
volleyball,3,5,3,19,16,350,10500,0,knockout,31.2,16,24.0,1.93,oversubscribed
kabaddi,1,2,9,16,6,4950,19500,1,knockout,33.3,7,5.4,0.895,will_fill
football,2,7,9,21,16,1800,23500,1,league+knockout,43.8,12,24.0,1.511,oversubscribed
basketball,2,3,13,13,24,1750,8500,0,league,12.5,0,3.2,0.133,wont_fill
football,3,14,14,18,20,400,7500,1,league,70.0,4,21.1,1.054,will_fill
kabaddi,1,8,5,17,16,850,35500,0,league+knockout,50.0,12,24.0,2.411,oversubscribed
kabaddi,3,5,3,5,14,1150,10000,0,league,35.7,2,6.8,0.487,wont_fill
cricket,2,13,3,12,24,1600,19500,0,league,54.2,9,36.0,3.063,oversubscribed
badminton,2,7,9,19,14,1700,9500,1,league,50.0,10,18.4,1.318,oversubscribed
kabaddi,3,19,5,13,20,650,11500,0,league,95.0,8,30.0,1.933,oversubscribed
volleyball,2,5,4,16,8,1700,22500,0,league,62.5,12,12.0,2.829,oversubscribed
football,3,13,9,10,20,250,1500,0,knockout,65.0,1,14.2,0.708,wont_fill
cricket,3,10,5,21,32,700,6500,0,league+knockout,31.2,16,44.6,1.394,oversubscribed
football,2,11,4,10,16,1200,1000,0,knockout,68.8,6,24.0,2.448,oversubscribed
football,1,7,6,10,14,3800,28000,0,knockout,50.0,4,19.2,1.371,oversubscribed
kabaddi,3,1,6,10,16,500,4000,0,league+knockout,6.2,4,1.9,0.121,wont_fill
kabaddi,2,9,15,16,20,1150,3500,0,league+knockout,45.0,1,6.5,0.325,wont_fill
cricket,2,7,1,13,14,300,7000,0,knockout,50.0,12,21.0,13.125,oversubscribed
cricket,2,1,5,17,8,2000,8000,0,league,12.5,12,4.3,0.541,wont_fill
kabaddi,1,4,4,6,10,2550,7500,0,knockout,40.0,2,8.4,0.838,will_fill
cricket,3,3,4,18,16,1050,3000,0,knockout,18.8,14,15.2,0.949,will_fill
basketball,2,8,14,16,24,550,5500,1,league+knockout,33.3,2,11.8,0.491,wont_fill
badminton,2,8,6,12,10,300,23500,0,knockout,80.0,6,15.0,2.44,oversubscribed
football,2,1,7,19,4,1400,13500,1,knockout,25.0,12,5.6,1.412,oversubscribed
volleyball,1,5,10,12,24,950,35000,1,league,20.8,2,6.5,0.273,wont_fill
badminton,2,1,4,21,8,2050,5000,0,league,12.5,17,6.7,0.832,will_fill
volleyball,1,15,5,8,16,550,33500,0,league+knockout,93.8,3,24.0,1.973,oversubscribed
cricket,2,2,3,6,14,1650,1000,0,league,14.3,3,2.7,0.196,wont_fill
basketball,1,8,14,18,16,1550,40000,0,league,50.0,4,15.9,0.992,will_fill
kabaddi,2,4,17,21,6,1150,21000,1,league+knockout,66.7,4,5.6,0.941,will_fill
football,1,7,2,14,8,3550,29500,0,league,87.5,12,12.0,11.163,oversubscribed
kabaddi,3,0,12,14,6,200,9500,1,league,0.0,2,0.0,0.0,wont_fill
cricket,1,4,6,12,8,550,3000,1,knockout,50.0,6,12.0,2.122,oversubscribed
kabaddi,2,5,1,14,8,2700,17000,1,league+knockout,62.5,13,12.0,8.504,oversubscribed
football,2,7,11,20,32,900,21000,0,knockout,21.9,9,16.8,0.524,wont_fill
kabaddi,1,2,2,18,16,4400,11000,0,league+knockout,12.5,16,18.1,1.13,will_fill
basketball,2,9,3,15,20,2800,24000,0,league,45.0,12,30.0,2.539,oversubscribed
cricket,3,2,6,6,16,1200,8000,1,league+knockout,12.5,0,3.9,0.241,wont_fill
football,2,2,5,7,12,2450,24000,0,league,16.7,2,3.3,0.278,wont_fill
football,1,14,1,7,16,3150,33500,0,knockout,87.5,6,24.0,12.492,oversubscribed
cricket,2,6,1,19,16,300,3500,1,league+knockout,37.5,18,24.0,10.959,oversubscribed
football,2,14,2,7,16,1200,4000,0,league,87.5,5,24.0,3.584,oversubscribed
volleyball,2,0,7,18,6,2750,21500,0,knockout,0.0,11,0.1,0.012,wont_fill
volleyball,2,5,7,18,16,2100,17500,0,league+knockout,31.2,11,11.0,0.687,wont_fill
volleyball,1,6,3,8,16,4650,10500,0,league,37.5,5,21.0,1.315,oversubscribed
football,2,4,1,5,24,2050,14000,0,league+knockout,16.7,4,22.6,0.941,will_fill
kabaddi,2,1,11,15,4,1700,14500,1,league+knockout,25.0,4,1.6,0.398,wont_fill
cricket,1,8,11,20,10,1400,19000,0,knockout,80.0,9,15.0,3.25,oversubscribed
volleyball,2,10,1,12,12,2150,17000,0,knockout,83.3,11,18.0,11.84,oversubscribed
football,1,12,5,6,16,1650,20000,1,league,75.0,1,18.2,1.139,will_fill
volleyball,1,2,8,9,8,1250,23500,0,league+knockout,25.0,1,3.8,0.479,wont_fill
badminton,1,10,1,12,16,4050,30500,0,league,62.5,11,24.0,10.579,oversubscribed
football,3,1,1,21,4,450,12000,1,league,25.0,20,6.0,7.573,oversubscribed
kabaddi,2,6,4,8,12,1600,21500,0,league,50.0,4,11.9,0.988,will_fill
football,1,3,15,18,16,4450,7000,0,knockout,18.8,3,6.1,0.383,wont_fill
basketball,3,6,4,12,12,950,3000,0,knockout,50.0,8,17.6,1.466,oversubscribed
volleyball,2,8,3,15,20,2950,24500,1,league,40.0,12,30.0,2.188,oversubscribed
volleyball,1,1,5,9,16,3650,18000,0,league,6.2,4,1.0,0.062,wont_fill
badminton,3,4,7,7,8,250,4500,0,league,50.0,0,3.7,0.468,wont_fill
volleyball,3,4,7,8,10,1400,10000,1,knockout,40.0,1,4.4,0.44,wont_fill
basketball,2,9,4,20,14,1150,6500,0,league+knockout,64.3,16,21.0,3.378,oversubscribed
cricket,1,1,8,11,4,3650,8000,0,knockout,25.0,3,2.6,0.654,wont_fill
volleyball,1,9,8,8,16,4900,37000,0,league,56.2,0,9.5,0.592,wont_fill
cricket,2,10,16,19,12,2350,5500,0,league,83.3,3,16.1,1.344,oversubscribed
kabaddi,3,5,1,5,16,1200,5000,0,league,31.2,4,16.6,1.039,will_fill
basketball,3,5,3,6,12,1400,4500,0,knockout,41.7,3,12.1,1.011,will_fill
cricket,2,4,1,8,12,2900,13000,0,knockout,33.3,7,18.0,4.649,oversubscribed
badminton,2,8,9,9,12,650,11000,0,knockout,66.7,0,7.4,0.615,wont_fill
kabaddi,1,14,4,12,20,3700,9500,0,knockout,70.0,8,30.0,2.897,oversubscribed
football,2,3,1,8,14,850,22500,0,knockout,21.4,7,21.0,3.075,oversubscribed
badminton,2,2,2,18,4,350,18500,0,league,50.0,16,6.0,6.173,oversubscribed
kabaddi,1,7,8,10,16,4800,46500,0,league,43.8,2,11.0,0.685,wont_fill
badminton,3,1,5,8,6,1250,3000,0,knockout,16.7,3,2.2,0.362,wont_fill
basketball,1,5,16,17,12,4250,13500,1,knockout,41.7,1,5.7,0.474,wont_fill
basketball,1,3,5,5,8,2550,35500,1,knockout,37.5,0,2.4,0.3,wont_fill
football,1,2,2,21,8,1350,30000,0,league,25.0,19,12.0,5.958,oversubscribed
badminton,2,13,10,12,20,600,14000,0,knockout,65.0,2,20.8,1.038,will_fill
football,3,1,4,16,8,500,5500,0,knockout,12.5,12,5.4,0.679,wont_fill
kabaddi,3,5,1,9,8,750,6000,0,league,62.5,8,12.0,4.127,oversubscribed
cricket,1,1,12,20,6,4300,47000,0,league,16.7,8,3.5,0.58,wont_fill
basketball,2,8,2,9,16,400,1500,0,league+knockout,50.0,7,24.0,2.236,oversubscribed
basketball,2,14,4,12,20,2250,5000,1,league+knockout,70.0,8,30.0,2.354,oversubscribed
basketball,1,7,3,10,16,850,21500,0,knockout,43.8,7,24.0,2.58,oversubscribed
cricket,1,13,11,14,20,1800,15500,1,league+knockout,65.0,3,26.8,1.34,oversubscribed
cricket,2,10,8,9,24,1450,17000,0,league+knockout,41.7,1,11.6,0.482,wont_fill
kabaddi,1,13,6,9,20,1600,37500,0,knockout,65.0,3,28.6,1.432,oversubscribed
kabaddi,2,5,7,8,12,2600,10500,1,knockout,41.7,1,6.1,0.509,wont_fill
basketball,1,18,9,17,24,1150,35500,0,league+knockout,75.0,8,36.0,2.13,oversubscribed
volleyball,1,6,2,9,8,1150,43000,0,knockout,75.0,7,12.0,6.242,oversubscribed
football,1,9,10,16,10,2500,40000,0,knockout,90.0,6,15.0,2.605,oversubscribed
badminton,3,3,10,11,8,600,6000,0,knockout,37.5,1,2.4,0.298,wont_fill
football,3,5,8,20,16,550,3500,0,league+knockout,31.2,12,11.3,0.709,wont_fill
football,1,4,6,6,8,3600,45000,1,knockout,50.0,0,3.6,0.454,wont_fill
volleyball,2,8,3,10,20,750,10000,0,league,40.0,7,26.4,1.32,oversubscribed
football,1,8,1,13,16,1400,29500,0,league+knockout,50.0,12,24.0,11.478,oversubscribed
kabaddi,2,3,5,12,12,2100,6000,0,knockout,25.0,7,7.4,0.616,wont_fill
football,1,5,6,13,12,3750,3500,1,league+knockout,41.7,7,15.4,1.283,oversubscribed
badminton,1,3,3,18,16,4300,4000,0,knockout,18.8,15,24.0,1.593,oversubscribed
cricket,1,2,2,16,6,3900,15000,0,league,33.3,14,9.0,5.181,oversubscribed
volleyball,3,7,1,10,32,350,5000,0,league,21.9,9,48.0,1.686,oversubscribed
volleyball,3,5,14,20,24,750,8500,1,league,20.8,6,9.8,0.407,wont_fill
football,2,0,5,12,6,2300,5000,0,league,0.0,7,0.3,0.057,wont_fill
volleyball,2,5,9,10,8,1300,10500,0,knockout,62.5,1,6.4,0.797,wont_fill
volleyball,3,8,2,12,12,450,8500,0,league,66.7,10,18.0,3.424,oversubscribed
cricket,3,1,1,9,10,100,7500,0,knockout,10.0,8,15.0,1.522,oversubscribed
basketball,2,9,3,16,20,1100,9500,0,knockout,45.0,13,30.0,3.224,oversubscribed
badminton,1,9,1,20,10,2000,36500,0,league,90.0,19,15.0,30.219,oversubscribed
cricket,3,2,2,10,12,500,11500,1,knockout,16.7,8,14.6,1.217,oversubscribed
football,1,10,2,5,14,4550,35500,0,league+knockout,71.4,3,21.0,2.603,oversubscribed
football,2,1,2,8,8,2050,22500,1,league+knockout,12.5,6,5.5,0.689,wont_fill
cricket,2,10,4,18,24,2250,6000,1,league,41.7,14,36.0,2.846,oversubscribed
football,2,9,3,13,20,1450,3000,0,league,45.0,10,30.0,2.485,oversubscribed
kabaddi,2,4,1,10,12,1650,13500,1,league,33.3,9,18.0,3.476,oversubscribed
kabaddi,1,0,2,11,4,1250,16500,0,league,0.0,9,0.4,0.094,wont_fill
cricket,3,5,13,18,20,100,7500,0,league,25.0,5,8.3,0.417,wont_fill
kabaddi,2,4,7,12,16,2350,23000,1,knockout,25.0,5,7.7,0.48,wont_fill
kabaddi,1,1,10,11,8,2350,10500,0,league+knockout,12.5,1,0.3,0.043,wont_fill
kabaddi,2,12,6,12,24,800,2500,0,league,50.0,6,21.7,0.903,will_fill
cricket,2,7,4,6,16,1750,4000,0,knockout,43.8,2,16.8,1.051,will_fill
volleyball,2,12,3,8,20,2000,12500,0,knockout,60.0,5,30.0,1.716,oversubscribed
volleyball,2,4,14,21,8,2750,12500,1,league,50.0,7,7.8,0.978,will_fill
badminton,2,7,13,16,16,1200,17000,0,league,43.8,3,10.0,0.626,wont_fill
volleyball,2,5,8,11,14,400,17000,0,league+knockout,35.7,3,7.6,0.545,wont_fill
badminton,2,5,12,13,8,300,8500,0,league,62.5,1,7.3,0.906,will_fill
basketball,3,2,12,14,10,550,8500,1,knockout,20.0,2,2.8,0.277,wont_fill
cricket,1,2,9,9,16,800,35500,0,league+knockout,12.5,0,3.4,0.21,wont_fill
badminton,1,5,7,7,8,1150,18000,0,league+knockout,62.5,0,4.4,0.546,wont_fill
cricket,2,6,18,20,12,900,18500,0,league+knockout,50.0,2,9.7,0.806,wont_fill
cricket,2,10,12,17,24,700,17000,0,league+knockout,41.7,5,20.0,0.832,will_fill
kabaddi,2,2,11,11,8,2600,6500,0,knockout,25.0,0,2.0,0.249,wont_fill
kabaddi,3,9,7,15,12,300,9500,1,knockout,75.0,8,18.0,1.718,oversubscribed
football,2,12,19,20,24,1400,3500,0,league,50.0,1,13.8,0.576,wont_fill
cricket,2,10,4,5,24,1550,20000,0,league+knockout,41.7,1,17.0,0.709,wont_fill
basketball,1,5,10,10,8,3350,19500,0,league,62.5,0,5.0,0.628,wont_fill
volleyball,3,10,3,21,16,900,1000,0,league,62.5,18,24.0,3.089,oversubscribed
volleyball,1,2,12,18,16,5000,46000,1,knockout,12.5,6,2.2,0.14,wont_fill
football,1,12,8,14,20,2700,47000,1,league,60.0,6,30.0,1.731,oversubscribed
football,3,3,9,12,12,850,4000,0,knockout,25.0,3,5.1,0.429,wont_fill
kabaddi,3,3,11,11,16,150,10000,0,league+knockout,18.8,0,3.3,0.206,wont_fill
cricket,1,7,1,5,12,1250,26000,0,knockout,58.3,4,18.0,9.067,oversubscribed
cricket,1,2,3,7,16,2500,18000,0,league,12.5,4,7.7,0.482,wont_fill
badminton,2,5,2,11,16,700,7000,1,knockout,31.2,9,24.0,2.394,oversubscribed
basketball,2,2,5,5,10,2400,12000,1,knockout,20.0,0,1.9,0.194,wont_fill
kabaddi,3,11,8,13,16,1150,1500,0,league+knockout,68.8,5,14.2,0.887,will_fill
badminton,1,6,5,7,12,3350,26000,1,knockout,50.0,2,12.8,1.065,will_fill
kabaddi,3,6,10,13,8,1350,6500,0,league,75.0,3,8.1,1.007,will_fill
cricket,2,8,5,7,16,2300,4000,0,knockout,50.0,2,18.1,1.129,will_fill
volleyball,1,3,6,8,6,4950,34000,1,league,50.0,2,5.1,0.852,will_fill
volleyball,3,12,1,13,16,350,4000,1,league+knockout,75.0,12,24.0,7.091,oversubscribed
basketball,2,7,2,9,12,2600,20500,0,league,58.3,7,18.0,3.056,oversubscribed
cricket,2,3,11,15,12,2950,8500,1,league,25.0,4,5.5,0.456,wont_fill
basketball,2,4,16,18,24,2450,21500,0,league+knockout,16.7,2,6.3,0.264,wont_fill
football,3,1,7,7,8,750,6000,0,league,12.5,0,2.2,0.271,wont_fill
football,3,24,1,16,32,350,7500,0,knockout,75.0,15,48.0,13.927,oversubscribed
cricket,1,5,12,19,16,3350,39000,0,league,31.2,7,12.7,0.793,wont_fill
kabaddi,2,5,13,14,8,2150,20000,0,knockout,62.5,1,5.5,0.689,wont_fill
badminton,2,6,8,18,16,2400,6500,0,knockout,37.5,10,19.2,1.201,oversubscribed
kabaddi,2,8,7,7,12,2700,21500,0,league+knockout,66.7,0,6.1,0.512,wont_fill
badminton,1,25,11,13,32,500,11000,1,league,78.1,2,46.0,1.438,oversubscribed
cricket,2,3,5,8,20,950,17500,1,league,15.0,3,7.2,0.359,wont_fill
volleyball,2,9,9,12,16,2200,12500,0,league,56.2,3,12.4,0.776,wont_fill
basketball,2,5,13,13,8,2050,21000,0,league+knockout,62.5,0,4.6,0.575,wont_fill
volleyball,1,8,8,11,12,1250,28500,0,league,66.7,3,13.9,1.158,oversubscribed
badminton,1,3,2,15,12,1300,12000,0,knockout,25.0,13,18.0,3.252,oversubscribed
badminton,3,7,5,5,10,300,7000,0,league+knockout,70.0,0,5.6,0.564,wont_fill
badminton,3,13,3,14,16,800,11500,1,knockout,81.2,11,24.0,4.086,oversubscribed
basketball,2,11,5,5,16,2100,1000,0,league+knockout,68.8,0,10.2,0.64,wont_fill
basketball,1,6,13,15,10,1950,39500,0,league+knockout,60.0,2,8.7,0.873,will_fill
basketball,1,5,10,21,16,3650,27000,1,league+knockout,31.2,11,20.0,1.247,oversubscribed
football,3,6,5,5,32,600,5500,0,knockout,18.8,0,6.8,0.213,wont_fill
basketball,3,1,13,13,8,1500,11500,0,league+knockout,12.5,0,1.4,0.17,wont_fill
badminton,3,3,9,10,10,1050,7500,0,league,30.0,1,4.3,0.427,wont_fill
kabaddi,2,1,1,11,10,2750,18000,1,league+knockout,10.0,10,9.2,0.92,will_fill
basketball,2,4,4,8,12,700,18500,0,league,33.3,4,13.3,1.11,will_fill
football,1,5,5,6,24,2550,18500,1,league,20.8,1,2.9,0.122,wont_fill
kabaddi,2,9,11,12,24,2450,7000,0,knockout,37.5,1,9.0,0.376,wont_fill
badminton,2,3,16,21,24,350,8000,0,knockout,12.5,5,4.1,0.17,wont_fill
football,2,15,8,14,24,1850,13000,1,knockout,62.5,6,36.0,1.682,oversubscribed
basketball,2,3,9,16,12,1800,7500,0,knockout,25.0,7,7.2,0.6,wont_fill
volleyball,3,11,12,19,16,100,5500,1,league,68.8,7,19.9,1.246,oversubscribed
volleyball,2,5,4,6,8,2400,25000,0,knockout,62.5,2,10.1,1.258,oversubscribed
badminton,2,5,10,11,8,550,12000,1,knockout,62.5,1,5.8,0.72,wont_fill
cricket,1,2,12,14,4,1300,22500,0,knockout,50.0,2,3.7,0.936,will_fill
basketball,3,9,3,10,20,1450,2500,0,league+knockout,45.0,7,24.9,1.244,oversubscribed
football,3,2,9,9,10,200,11500,1,knockout,20.0,0,2.4,0.24,wont_fill
badminton,2,5,5,8,14,2300,22500,0,league,35.7,3,10.6,0.758,wont_fill
volleyball,2,2,2,7,6,550,1500,1,league,33.3,5,7.0,1.16,oversubscribed
kabaddi,2,14,9,21,16,1850,20000,1,league,87.5,12,24.0,2.461,oversubscribed
football,2,2,5,12,24,2750,17000,0,knockout,8.3,7,6.2,0.256,wont_fill
football,1,8,5,10,20,4050,6500,0,league+knockout,40.0,5,23.0,1.148,will_fill
cricket,3,4,1,6,8,1300,10500,0,league,50.0,5,12.0,3.465,oversubscribed
volleyball,3,13,10,10,16,400,3500,0,league,81.2,0,12.9,0.803,wont_fill
badminton,1,2,6,6,8,2000,23500,0,league+knockout,25.0,0,1.6,0.204,wont_fill
football,2,4,6,7,14,3000,3500,0,knockout,28.6,1,6.6,0.47,wont_fill
cricket,2,5,11,20,14,1750,4500,0,league+knockout,35.7,9,12.9,0.923,will_fill
kabaddi,1,3,1,8,8,4550,14500,1,knockout,37.5,7,12.0,4.599,oversubscribed
cricket,1,4,6,17,8,1450,9000,0,league,50.0,11,12.0,2.582,oversubscribed
volleyball,3,1,4,7,14,850,11000,1,knockout,7.1,3,1.5,0.109,wont_fill
kabaddi,3,7,15,20,16,1400,7000,0,knockout,43.8,5,11.3,0.709,wont_fill
volleyball,2,9,11,12,14,2300,10500,0,league+knockout,64.3,1,11.3,0.811,wont_fill
badminton,1,2,6,13,8,3650,14500,0,knockout,25.0,7,5.8,0.726,wont_fill
volleyball,3,12,9,16,16,450,11000,0,league+knockout,75.0,7,18.3,1.141,will_fill
football,3,3,2,10,24,1300,4000,0,league,12.5,8,16.4,0.682,wont_fill
badminton,2,10,9,10,12,1100,1500,1,knockout,83.3,1,11.4,0.952,will_fill
football,2,10,4,7,12,700,9500,1,knockout,83.3,3,18.0,2.468,oversubscribed
volleyball,2,4,20,20,16,1250,5000,1,knockout,25.0,0,2.9,0.182,wont_fill
kabaddi,1,7,4,9,16,800,28000,0,league,43.8,5,22.7,1.417,oversubscribed
volleyball,3,2,9,15,8,1300,2500,0,knockout,25.0,6,2.8,0.351,wont_fill
football,1,2,4,5,16,4850,37000,1,league,12.5,1,5.2,0.328,wont_fill
volleyball,2,4,5,10,8,2350,16500,0,knockout,50.0,5,9.3,1.159,oversubscribed
kabaddi,2,3,9,16,4,2000,8000,1,knockout,75.0,7,6.0,1.726,oversubscribed
cricket,3,8,3,15,14,850,3500,0,league,57.1,12,21.0,2.779,oversubscribed
volleyball,3,7,3,8,32,1100,2500,0,league,21.9,5,8.6,0.269,wont_fill
football,2,12,5,17,14,1700,8000,0,knockout,85.7,12,21.0,4.352,oversubscribed
volleyball,1,3,7,14,6,4600,8500,0,knockout,50.0,7,8.4,1.404,oversubscribed
kabaddi,1,8,2,19,32,1300,16000,1,league+knockout,25.0,17,48.0,2.743,oversubscribed
volleyball,2,3,9,15,20,2650,19500,0,league,15.0,6,3.6,0.178,wont_fill
badminton,1,13,5,19,24,1250,22500,0,league,54.2,14,36.0,3.054,oversubscribed
football,3,5,10,13,16,1000,3000,0,league,31.2,3,7.8,0.49,wont_fill
badminton,1,1,5,8,8,2200,23500,1,league+knockout,12.5,3,2.1,0.257,wont_fill
basketball,3,8,14,21,16,550,11000,0,league,50.0,7,14.5,0.907,will_fill
kabaddi,1,9,4,12,24,2050,29500,0,league,37.5,8,30.2,1.258,oversubscribed
basketball,3,17,10,10,32,500,7000,0,knockout,53.1,0,15.2,0.475,wont_fill
volleyball,3,2,7,8,12,150,9500,0,knockout,16.7,1,4.0,0.337,wont_fill
cricket,3,2,16,17,20,350,8000,1,league+knockout,10.0,1,2.4,0.118,wont_fill
cricket,2,2,4,9,6,1150,10500,0,knockout,33.3,5,7.4,1.237,oversubscribed
cricket,3,5,11,13,8,600,7000,0,league,62.5,2,8.4,1.05,will_fill
football,2,19,10,10,24,650,11000,0,league,79.2,0,15.7,0.653,wont_fill
football,2,6,12,16,20,2650,1500,1,knockout,30.0,4,13.0,0.651,wont_fill
volleyball,1,7,5,10,8,3300,33500,1,knockout,87.5,5,12.0,2.825,oversubscribed
kabaddi,1,1,8,9,16,3250,6000,1,league,6.2,1,0.8,0.051,wont_fill
volleyball,3,2,9,12,16,500,6500,0,league,12.5,3,3.8,0.236,wont_fill
kabaddi,3,6,2,17,12,1250,7000,0,league+knockout,50.0,15,18.0,2.607,oversubscribed
football,2,7,1,16,10,2400,20500,1,league+knockout,70.0,15,15.0,15.542,oversubscribed
basketball,3,11,2,8,16,1050,7000,0,league+knockout,68.8,6,24.0,2.245,oversubscribed
badminton,2,8,8,10,16,1050,3500,0,knockout,50.0,2,12.9,0.809,wont_fill
football,2,8,4,7,14,1550,16000,0,league+knockout,57.1,3,19.2,1.372,oversubscribed
basketball,1,9,5,8,16,1650,20000,0,league,56.2,3,22.3,1.392,oversubscribed
cricket,2,4,2,14,12,400,1500,0,knockout,33.3,12,18.0,3.824,oversubscribed
volleyball,1,3,10,21,10,1400,50000,1,league,30.0,11,12.6,1.26,oversubscribed
football,3,2,14,18,8,1150,7000,0,league+knockout,25.0,4,2.7,0.335,wont_fill
basketball,1,15,13,17,24,1800,32000,0,league+knockout,62.5,4,28.9,1.203,oversubscribed
kabaddi,1,7,4,6,10,3500,39000,0,knockout,70.0,2,15.0,1.667,oversubscribed
football,3,8,14,17,16,1250,11000,0,league,50.0,3,11.0,0.689,wont_fill
badminton,1,1,5,12,12,1650,32500,0,league,8.3,7,3.9,0.329,wont_fill
