sport,city_tier,venue_cost,max_teams,team_size,format,has_sponsor,prize_percentage,tournament_days,optimal_entry_fee
badminton,2,4000,8,2,league,0,60,4,1000
cricket,3,8000,8,14,league,0,60,2,1500
basketball,2,7500,12,7,league,0,55,3,1300
badminton,3,3000,6,4,knockout,1,40,2,500
football,2,10000,16,9,knockout,0,70,2,1000
kabaddi,3,1500,10,12,knockout,0,65,2,200
kabaddi,3,8000,6,10,knockout,0,55,2,1000
football,2,4000,12,8,league+knockout,0,60,2,1027
kabaddi,1,28000,12,9,league,1,55,3,3500
badminton,2,14500,4,1,league+knockout,0,55,5,3000
kabaddi,2,9500,14,12,knockout,1,70,2,750
kabaddi,2,8000,10,11,knockout,0,50,1,900
kabaddi,2,7000,12,11,knockout,1,55,2,600
cricket,1,15500,8,12,league,0,75,3,4900
volleyball,2,10000,14,7,knockout,0,55,2,900
volleyball,3,3500,8,8,knockout,0,60,2,500
basketball,1,9500,6,8,league+knockout,0,40,2,3100
volleyball,1,12000,24,6,knockout,0,55,1,700
basketball,1,18500,10,6,knockout,0,70,1,3000
badminton,2,13000,24,4,league+knockout,0,75,5,1500
cricket,1,14500,10,15,knockout,0,60,1,2500
football,1,15000,14,9,league+knockout,0,50,5,3500
badminton,2,4500,24,2,knockout,0,50,1,350
cricket,3,3000,8,14,knockout,0,60,2,750
basketball,1,14000,24,8,knockout,0,50,2,1000
kabaddi,3,4000,16,7,league,0,65,4,500
kabaddi,2,8500,12,11,knockout,0,40,1,800
kabaddi,1,9000,8,7,knockout,0,70,2,1600
cricket,1,25000,8,11,league+knockout,0,50,4,5000
badminton,1,22500,24,2,knockout,0,75,1,1700
cricket,3,3000,16,14,knockout,0,60,2,500
badminton,3,3500,32,2,league,1,65,4,100
basketball,3,3000,24,7,league,0,55,2,500
basketball,1,14500,6,5,league+knockout,0,55,3,5000
volleyball,2,9500,12,7,league,1,50,4,1000
volleyball,3,4000,16,6,knockout,0,65,1,250
badminton,1,27000,8,3,knockout,0,40,2,4500
kabaddi,3,2500,12,12,knockout,0,75,2,250
kabaddi,2,8000,16,7,league,0,65,2,750
football,3,4500,6,7,league+knockout,0,50,3,1300
cricket,2,6000,10,13,knockout,0,50,1,1300
cricket,1,14000,12,12,knockout,0,55,2,2500
basketball,2,9500,10,8,league+knockout,1,50,3,1850
kabaddi,1,15500,10,8,knockout,1,70,2,2200
kabaddi,3,6000,32,9,league,0,65,4,400
badminton,2,15000,8,4,knockout,1,70,2,2100
football,3,3000,16,9,league+knockout,1,75,2,500
kabaddi,2,6500,8,9,league,0,50,3,1250
volleyball,1,9500,16,8,knockout,1,45,1,750
cricket,2,4000,20,11,knockout,0,45,1,500
kabaddi,2,7000,16,8,league+knockout,0,60,4,1000
cricket,1,7000,20,13,league,1,60,3,1000
volleyball,1,10500,6,6,league,1,65,4,3150
cricket,3,4000,10,12,knockout,0,55,1,500
volleyball,2,5000,16,8,league,1,75,2,500
volleyball,2,3500,10,6,knockout,1,50,1,300
kabaddi,3,3500,16,8,league,0,70,2,300
cricket,1,21000,20,14,league+knockout,0,65,2,3500
football,1,27000,10,8,league+knockout,1,70,3,5000
badminton,3,4500,12,1,league+knockout,0,50,2,600
kabaddi,2,12500,24,7,league,0,70,2,500
volleyball,3,5000,12,6,league,0,50,4,500
badminton,3,3000,24,2,league+knockout,1,40,4,300
volleyball,2,12000,20,6,league,0,65,3,900
volleyball,1,12500,10,7,knockout,1,70,2,1600
basketball,2,3000,10,6,knockout,1,75,2,1000
badminton,3,2000,32,2,knockout,0,70,1,250
basketball,2,6500,16,6,knockout,0,50,1,700
cricket,1,12500,24,13,knockout,0,65,1,1500
badminton,2,5000,32,1,league+knockout,1,60,3,800
cricket,2,7000,4,12,knockout,0,70,1,3000
badminton,3,2000,24,4,league,0,75,3,300
kabaddi,1,18500,8,12,league+knockout,0,45,5,5000
badminton,2,4500,10,4,league,0,40,2,700
basketball,2,9500,20,8,knockout,1,45,2,750
football,3,4000,16,9,knockout,0,40,2,500
volleyball,3,2500,10,8,knockout,0,65,2,500
kabaddi,1,8500,8,12,knockout,0,45,1,1500
basketball,2,12000,20,8,knockout,0,40,1,800
football,3,4500,8,7,league+knockout,0,60,5,1500
cricket,2,10000,12,11,league,1,65,3,1900
football,2,6000,16,11,league+knockout,0,65,5,1250
basketball,2,3000,14,6,league,0,55,4,700
basketball,1,12000,24,6,knockout,1,50,2,750
kabaddi,2,7000,20,9,league,0,75,3,700
cricket,3,3000,16,15,league+knockout,0,55,5,1000
badminton,3,5000,16,4,league+knockout,0,45,4,600
volleyball,3,3500,8,8,league+knockout,0,55,2,500
football,1,10000,12,10,knockout,0,65,2,2000
cricket,2,6500,16,14,knockout,1,50,1,700
volleyball,2,7000,16,6,league,0,50,2,700
cricket,1,30000,24,13,league,0,70,3,4000
kabaddi,3,7000,6,10,knockout,1,70,1,1000
badminton,2,7500,6,2,knockout,0,65,2,1600
basketball,1,7000,32,5,knockout,1,60,1,500
football,2,9500,8,7,league,0,70,2,2000
kabaddi,3,4000,8,9,knockout,0,60,1,500
basketball,2,8500,16,5,knockout,0,60,2,1000
football,2,3500,8,8,knockout,0,65,1,800
kabaddi,3,6000,12,7,knockout,0,70,1,500
cricket,2,6000,24,13,knockout,1,70,1,700
volleyball,1,25000,14,8,league+knockout,0,65,5,4500
football,3,6000,16,11,knockout,0,65,2,600
volleyball,2,8500,16,6,league,1,70,4,800
kabaddi,2,6500,8,11,knockout,1,40,2,800
badminton,1,10500,8,2,knockout,0,70,2,2000
badminton,3,5000,20,4,league+knockout,0,55,5,500
cricket,2,3000,24,12,knockout,0,75,1,500
cricket,2,6500,10,11,knockout,0,65,1,1450
football,2,11500,14,9,league,0,40,3,3000
kabaddi,2,5500,6,7,league+knockout,1,70,5,1500
badminton,1,13500,4,2,knockout,1,50,1,4000
cricket,1,23500,16,11,knockout,0,45,1,2000
cricket,2,4000,8,13,knockout,0,50,2,1100
football,3,2000,12,9,league,1,45,3,250
volleyball,3,4500,10,8,league,0,60,3,560
basketball,1,12000,16,6,league+knockout,0,55,3,2090
football,1,15000,8,9,knockout,0,50,2,3600
football,1,19500,16,10,league,0,70,3,3750
basketball,1,14500,12,5,league+knockout,0,50,4,3500
badminton,1,7500,32,3,knockout,0,70,2,500
football,1,12500,14,9,league,0,70,3,2250
basketball,1,11500,32,7,league,0,60,3,1100
badminton,1,11500,16,3,knockout,0,50,2,1500
basketball,3,4500,24,6,league,1,45,4,500
badminton,1,25500,10,1,league+knockout,0,50,2,5000
kabaddi,2,7500,8,11,knockout,1,75,1,1000
cricket,2,6500,6,15,league,0,75,2,2350
badminton,2,6000,20,2,league,0,60,4,500
football,3,4000,24,9,league,0,70,3,500
cricket,2,7000,32,14,league,0,50,4,1100
cricket,3,3000,10,14,league+knockout,0,40,2,1000
basketball,2,3500,20,6,league,0,70,3,500
badminton,2,9000,12,4,knockout,0,70,1,967
badminton,1,12000,24,4,knockout,0,50,2,1000
football,1,20000,14,10,league+knockout,0,60,3,3400
volleyball,2,9500,8,7,knockout,0,50,2,1500
basketball,3,5500,16,7,knockout,1,50,2,250
volleyball,3,8000,16,8,league+knockout,0,60,3,750
badminton,1,25000,10,4,league,1,55,4,4500
football,2,5000,8,9,league+knockout,0,55,4,1700
badminton,3,5500,12,3,league,0,70,4,500
basketball,2,9500,32,5,knockout,0,65,1,600
kabaddi,2,9000,32,10,knockout,0,40,1,500
badminton,2,5500,12,4,league,0,60,2,800
volleyball,1,18500,12,7,knockout,1,40,1,1750
cricket,3,4500,8,13,knockout,1,45,2,1000
cricket,2,10500,8,12,league+knockout,0,45,5,3000
volleyball,1,6500,16,8,knockout,0,50,1,600
kabaddi,3,7000,24,10,league,0,50,2,300
badminton,1,9000,6,1,league+knockout,0,60,5,3950
badminton,2,3500,12,3,league+knockout,1,70,3,500
basketball,2,5000,8,6,knockout,1,75,1,800
football,2,8000,32,8,league,0,75,3,800
cricket,2,6000,10,12,league+knockout,1,50,4,1750
volleyball,1,21500,32,6,league+knockout,1,70,4,1700
football,2,6500,12,10,knockout,0,40,2,1100
cricket,2,10000,10,11,league+knockout,0,40,4,2500
football,3,2000,12,9,league,0,75,3,450
kabaddi,1,25000,8,7,knockout,1,60,2,3500
kabaddi,2,3500,8,7,league,1,40,2,500
football,2,3500,20,11,league+knockout,0,45,4,750
cricket,3,3000,6,14,league+knockout,0,70,4,1250
kabaddi,2,11000,12,7,knockout,0,70,2,1000
volleyball,3,2000,32,6,league,0,45,2,200
volleyball,2,7500,8,7,knockout,1,65,2,1000
basketball,1,12500,16,7,league+knockout,0,50,3,1900
football,1,9000,16,8,league+knockout,1,45,3,1500
kabaddi,1,5000,6,8,knockout,1,70,2,1200
kabaddi,3,2000,8,8,knockout,0,55,1,250
volleyball,1,18000,16,6,league,0,70,2,2000
volleyball,1,21000,16,7,knockout,1,60,1,1700
badminton,2,6500,4,2,knockout,0,70,2,2000
football,3,5500,14,7,league,1,60,4,700
cricket,2,11000,24,15,knockout,1,75,1,500
kabaddi,3,3500,8,9,league+knockout,0,55,3,600
basketball,2,7000,14,7,knockout,0,40,2,888
cricket,1,28000,4,11,knockout,0,45,1,5000
football,2,6000,14,11,knockout,0,40,1,800
football,3,2500,16,7,knockout,0,55,1,300
cricket,2,7000,10,12,league+knockout,0,40,3,2000
volleyball,1,18000,32,6,league,0,60,4,1300
cricket,2,5000,10,14,league,0,55,3,1500
volleyball,1,10000,8,6,knockout,0,70,1,1850
basketball,2,10500,24,5,league,0,60,3,924
basketball,2,4000,16,8,league,0,40,3,700
volleyball,1,10500,8,6,knockout,0,40,1,1800
basketball,3,4000,10,7,knockout,0,45,1,400
volleyball,1,18500,24,7,league+knockout,0,45,2,1500
volleyball,2,7000,20,8,knockout,0,45,2,500
kabaddi,3,3000,12,7,league,0,50,2,400
kabaddi,1,16000,16,8,league,1,50,4,2000
basketball,1,15000,8,6,knockout,1,70,1,2800
basketball,2,8500,10,6,league,0,65,4,1900
kabaddi,1,22000,20,10,league+knockout,0,40,2,2100
football,2,15000,16,11,league+knockout,0,60,5,2700
volleyball,2,4500,24,6,league,0,45,3,500
basketball,3,4000,8,5,knockout,0,40,1,500
volleyball,1,18500,16,7,league+knockout,0,45,5,3000
volleyball,3,2000,16,7,knockout,1,60,1,250
basketball,2,6000,10,7,knockout,1,55,2,1000
volleyball,2,5500,6,8,league,1,55,3,1500
football,2,6500,8,8,knockout,0,40,1,1200
cricket,3,3000,8,15,league,1,50,4,500
cricket,2,5000,32,15,knockout,0,45,1,500
basketball,2,6500,4,5,league,1,45,3,2500
badminton,2,9000,16,3,league,0,70,2,1000
cricket,2,11000,24,11,league,0,50,4,1424
cricket,2,7500,16,12,league,0,65,3,1500
football,1,6000,14,11,knockout,0,50,1,1000
volleyball,3,3500,8,8,league+knockout,1,65,4,500
badminton,3,4500,8,3,knockout,1,70,2,500
cricket,3,2000,16,13,knockout,0,70,1,500
badminton,2,7500,6,1,league,0,50,2,2000
football,3,5500,24,8,league,0,65,2,500
volleyball,3,6000,6,6,knockout,0,45,1,800
cricket,2,5000,24,15,knockout,0,40,2,500
football,1,12000,16,8,league,0,50,3,2000
football,2,15000,8,8,league+knockout,0,60,3,3000
kabaddi,3,4000,20,8,league+knockout,1,40,3,250
basketball,1,7000,32,5,league,0,60,2,768
cricket,3,5500,10,13,league+knockout,0,70,4,1350
cricket,1,16500,16,15,league+knockout,1,40,4,3500
basketball,2,12500,16,7,league+knockout,1,55,2,1500
football,2,7500,8,11,league,0,75,4,2000
football,2,5500,6,10,league+knockout,1,70,4,2000
basketball,1,10000,10,7,knockout,0,55,2,1900
basketball,1,30000,10,5,knockout,0,60,2,5000
badminton,3,4000,24,2,league,1,50,2,250
football,3,2500,20,8,knockout,0,75,1,500
kabaddi,2,4000,24,10,league+knockout,1,55,3,500
football,2,9000,16,7,league+knockout,1,65,4,1250
basketball,2,6500,16,7,league,0,75,4,1000
football,1,9000,8,7,knockout,1,45,2,1500
cricket,2,10000,8,14,knockout,1,55,1,1950
badminton,3,1500,12,1,knockout,0,50,1,100
basketball,1,14000,16,5,league+knockout,0,65,2,2500
kabaddi,2,4000,16,12,league,0,60,3,600
badminton,3,4000,8,1,league+knockout,0,75,3,900
volleyball,1,23000,32,7,knockout,0,55,2,1300
kabaddi,2,5500,6,9,league,0,45,3,1250
football,3,3000,16,11,league,0,50,3,500
volleyball,2,8000,24,8,knockout,0,60,1,500
kabaddi,3,5500,8,11,knockout,0,70,1,500
football,1,24000,24,10,league+knockout,1,50,3,2613
football,1,12000,8,8,league,1,40,2,1900
basketball,3,3500,8,7,league+knockout,0,75,2,840
badminton,1,12000,24,1,league,0,45,3,1200
football,3,3500,8,11,knockout,1,55,1,500
badminton,1,15000,16,1,knockout,0,60,2,2000
football,3,2500,24,10,knockout,1,50,2,200
football,1,10500,16,7,league,0,50,2,1600
badminton,1,19500,8,4,league+knockout,1,45,4,5000
basketball,1,14000,16,6,knockout,1,40,1,1500
football,3,5000,16,11,knockout,0,40,2,500
basketball,3,2000,16,8,league,0,60,2,500
volleyball,3,4000,6,6,league,0,50,4,1000
cricket,2,6000,32,14,league,1,75,2,803
cricket,2,8500,12,14,league,0,40,3,2000
volleyball,2,4500,24,6,league,0,65,3,500
kabaddi,1,18000,12,8,league,1,60,3,2500
badminton,2,3000,24,2,league,1,65,3,500
football,3,3500,10,11,league,1,70,2,500
basketball,2,9500,8,5,league+knockout,0,60,2,2500
cricket,1,16500,6,14,knockout,0,60,2,5000
basketball,1,9500,8,5,league,0,50,4,2800
football,2,7500,20,11,league,0,45,4,1000
basketball,1,18500,20,6,knockout,0,55,2,1500
badminton,2,12000,8,2,league+knockout,0,50,4,3000
basketball,1,30000,12,6,league+knockout,0,70,5,5000
football,1,13500,8,10,league+knockout,0,45,4,5000
basketball,2,6000,8,5,league+knockout,0,50,5,2100
basketball,1,13000,10,5,league,1,75,3,2500
badminton,1,5000,8,3,league+knockout,0,60,4,1500
volleyball,2,8000,16,8,knockout,0,75,1,750
football,2,7500,8,8,league+knockout,0,65,3,2400
basketball,1,11500,8,7,league,0,75,3,3350
football,2,11000,12,7,league,0,65,3,1500
cricket,2,7000,20,14,league+knockout,1,55,2,1000
kabaddi,1,24000,6,11,league,0,75,3,5000
football,2,9000,8,8,knockout,0,55,1,1750
volleyball,1,7500,16,8,knockout,0,50,2,750
basketball,2,6000,16,7,league,0,65,2,900
basketball,1,18500,12,5,league,0,65,4,3750
badminton,2,4500,16,4,league,1,75,4,600
volleyball,1,13500,6,8,league,0,45,2,3500
badminton,1,7500,14,1,league,0,50,2,1000
kabaddi,1,8500,6,8,knockout,0,70,1,2250
badminton,2,5000,24,1,league,0,65,4,500
kabaddi,2,7500,6,7,league+knockout,1,65,4,1809
volleyball,3,1500,32,7,knockout,1,55,1,100
kabaddi,3,2500,10,7,league+knockout,1,50,4,400
kabaddi,2,7000,16,10,knockout,0,65,1,600
football,1,26000,20,7,league+knockout,0,70,3,1850
basketball,1,11500,10,6,knockout,0,60,1,1750
badminton,2,6500,16,2,league,0,40,4,850
basketball,2,6000,16,8,knockout,0,55,2,750
football,2,6500,24,9,league+knockout,1,60,2,1100
badminton,1,16000,12,1,league+knockout,1,70,5,3100
cricket,2,7500,16,11,knockout,0,40,1,1000
badminton,3,3000,12,2,league+knockout,0,60,2,450
cricket,2,6500,12,14,league+knockout,0,50,3,2000
kabaddi,2,10000,16,10,knockout,0,60,2,750
badminton,2,6500,12,2,league+knockout,0,70,2,900
volleyball,2,5000,8,6,league+knockout,1,50,5,1000
football,3,3000,8,7,knockout,0,65,2,500
volleyball,2,9500,16,7,league,0,55,3,1000
kabaddi,1,22500,8,7,league,1,45,4,4000
football,2,8000,8,10,league,0,65,4,2500
badminton,1,15500,10,4,knockout,0,60,1,2650
badminton,1,19500,16,2,knockout,1,60,2,1500
volleyball,2,7000,16,8,knockout,0,55,1,500
basketball,2,15000,20,5,knockout,0,70,1,1100
volleyball,2,5000,20,7,knockout,0,70,2,400
volleyball,2,9000,8,8,league,1,60,4,1500
football,2,6500,12,7,knockout,0,45,1,1000
badminton,3,2500,8,2,league,1,60,3,405
football,1,11500,8,8,league+knockout,1,60,2,3500
football,3,4000,12,11,league,0,60,3,500
badminton,2,5000,14,2,knockout,0,45,2,700
basketball,3,5500,4,7,knockout,0,45,2,1500
badminton,2,7000,16,4,knockout,0,50,1,700
basketball,2,4500,20,5,league,0,70,2,700
football,2,6000,32,7,knockout,0,40,2,500
football,2,9500,10,8,knockout,1,65,2,1500
badminton,2,6000,12,4,knockout,0,45,2,750
kabaddi,3,1500,8,12,league+knockout,0,75,5,500
badminton,1,9500,10,3,league,1,40,2,1800
football,3,3000,8,9,knockout,0,50,2,600
badminton,1,7000,16,1,league,0,70,2,1100
cricket,1,21000,8,12,league,1,60,4,5000
volleyball,3,2000,16,7,league,1,75,2,200
basketball,2,9000,6,7,league,1,70,2,2500
football,2,8000,8,11,league+knockout,0,60,5,2500
badminton,2,13500,8,4,league,0,60,2,3000
kabaddi,1,14500,20,11,league+knockout,0,45,4,2000
badminton,2,7500,12,2,league+knockout,1,40,4,1250
volleyball,3,5000,14,7,league,0,40,4,450
volleyball,2,5500,8,6,knockout,0,65,1,786
volleyball,3,8000,14,6,knockout,0,55,1,500
football,3,3000,24,11,knockout,0,70,1,250
football,1,19500,24,10,knockout,0,40,2,1800
basketball,2,10000,24,5,league+knockout,0,50,3,1000
kabaddi,2,8000,24,10,knockout,1,70,2,400
basketball,1,9500,6,5,knockout,0,60,1,2500
cricket,3,4000,6,15,league,1,65,4,1250
badminton,3,4500,12,2,knockout,0,45,2,451
volleyball,1,25500,8,6,knockout,1,60,2,3700
volleyball,2,9500,14,8,league,0,50,3,1000
kabaddi,3,3000,8,9,knockout,0,65,1,400
badminton,3,3000,16,3,league,0,55,2,500
kabaddi,1,14500,10,7,knockout,1,40,2,1750
basketball,2,6500,8,5,league,0,45,3,1500
cricket,2,4500,16,11,league,0,55,3,1200
badminton,1,19000,12,3,league,0,65,2,3000
volleyball,2,5000,16,6,league,0,50,2,600
volleyball,2,6000,8,8,knockout,0,50,2,900
cricket,2,4500,16,11,league+knockout,0,60,5,1500
kabaddi,2,8000,8,11,league,0,70,2,1600
football,2,7000,8,10,league+knockout,1,70,5,2000
volleyball,2,4000,16,8,knockout,0,55,2,500
basketball,2,10500,12,7,knockout,0,55,2,1350
volleyball,1,8000,12,6,knockout,0,55,1,920
volleyball,3,3000,16,8,league+knockout,0,65,2,250
cricket,1,15500,16,15,league,0,70,2,2500
kabaddi,2,8500,10,8,league,0,55,3,1250
basketball,1,11500,16,5,league+knockout,1,45,5,2100
badminton,3,5000,16,1,league,0,60,2,500
basketball,2,7000,10,5,league,1,55,3,1300
kabaddi,2,5500,24,11,league,0,40,3,500
cricket,3,3000,8,13,league+knockout,0,60,4,1000
cricket,2,4500,32,13,league,0,45,3,500
cricket,1,25000,20,12,knockout,0,70,1,2500
badminton,2,4000,12,4,league,0,60,2,600
football,1,30000,24,9,knockout,0,70,1,2450
cricket,2,6500,10,12,league+knockout,0,55,4,2000
kabaddi,1,15500,4,10,league,0,55,3,5000
kabaddi,1,11500,24,11,knockout,0,45,2,1000
basketball,1,10500,4,6,knockout,0,65,2,4450
football,1,16000,6,7,knockout,0,50,1,4000
kabaddi,1,30000,8,8,league,0,50,3,5000
volleyball,2,4500,32,8,league+knockout,0,40,3,250
football,1,10500,10,11,knockout,0,65,1,2000
cricket,3,4500,8,12,league,0,45,4,1193
kabaddi,3,3000,16,9,league,1,45,2,100
badminton,2,6000,16,1,knockout,1,65,2,500
kabaddi,1,12000,4,11,league,0,40,3,5000
basketball,2,5500,8,8,league+knockout,0,50,3,1500
basketball,2,10000,14,8,league+knockout,1,45,3,1250
kabaddi,3,2500,16,12,knockout,1,65,2,100
football,2,5000,12,10,knockout,0,65,1,800
kabaddi,2,15000,8,11,knockout,0,70,1,2000
kabaddi,1,14500,32,8,knockout,0,65,2,750
badminton,2,7000,20,1,league,1,65,2,750
badminton,2,3000,10,1,knockout,1,70,1,415
badminton,1,6000,6,4,league+knockout,0,60,2,2500
cricket,3,3500,20,15,knockout,1,60,1,500
football,1,18500,16,8,league+knockout,1,55,2,2500
kabaddi,2,6000,16,11,knockout,0,65,1,500
volleyball,3,3000,16,6,league+knockout,1,70,3,300
football,3,6000,10,9,league,0,70,2,900
basketball,3,3000,32,5,league,0,45,4,500
kabaddi,2,15000,20,7,league,0,55,3,1250
kabaddi,2,11500,16,11,league,0,40,2,1000
cricket,2,10000,8,13,league,0,70,4,3000
cricket,1,16000,4,12,league+knockout,0,55,4,5000
kabaddi,1,16000,6,11,league+knockout,0,45,4,5000
kabaddi,3,4500,8,8,league,1,55,2,500
basketball,1,19000,16,7,league,0,50,4,3152
cricket,3,1000,16,13,league,0,55,3,500
kabaddi,1,6500,16,10,league+knockout,0,45,3,1000
volleyball,2,6500,32,8,knockout,1,75,1,300
cricket,3,4000,20,11,league,0,45,2,500
kabaddi,1,20500,8,8,knockout,0,75,1,3500
badminton,2,6000,8,2,league,0,45,4,1400
volleyball,2,13500,16,6,knockout,1,65,2,1000
kabaddi,3,4500,6,11,knockout,1,50,2,700
volleyball,3,2500,8,6,league+knockout,0,55,3,450
volleyball,3,4000,10,8,league,0,75,4,500
badminton,1,9500,8,3,league,0,75,4,3000
football,3,2000,10,11,league,1,70,2,500
cricket,1,15000,4,11,league+knockout,0,45,3,5000
cricket,1,11000,32,11,league,0,45,3,1600
cricket,2,13000,16,13,league+knockout,0,75,2,2000
football,2,7500,16,7,knockout,0,70,1,1000
volleyball,3,4000,16,6,knockout,0,70,2,300
basketball,3,2000,16,5,knockout,1,70,2,300
volleyball,3,5500,8,7,knockout,0,65,2,700
basketball,3,3000,16,8,league+knockout,0,70,5,500
badminton,2,3000,16,2,knockout,0,60,2,500
basketball,1,19000,24,7,knockout,0,50,1,1500
badminton,3,3500,8,3,knockout,0,45,1,500
cricket,2,5000,12,11,league,0,40,2,1000
badminton,3,3500,8,1,league,0,60,4,700
badminton,2,12500,14,4,knockout,0,40,2,1000
football,2,4500,4,10,league,0,65,2,2200
basketball,2,15000,10,7,knockout,0,55,2,2000
basketball,1,20000,16,6,knockout,1,70,2,2000
volleyball,3,3000,4,7,knockout,0,55,1,600
cricket,1,17500,24,12,league,1,70,3,2000
football,1,18500,16,10,league,0,65,4,5000
volleyball,2,7500,24,6,league,0,55,3,500
cricket,2,7500,32,14,league,0,60,4,1000
football,1,23000,10,10,knockout,0,50,1,3750
volleyball,1,12000,16,8,league,0,45,4,1500
kabaddi,2,9000,8,11,league+knockout,0,45,3,2400
basketball,1,13000,16,6,knockout,1,45,1,1500
cricket,2,6000,8,14,knockout,0,45,1,1250
kabaddi,2,8500,16,8,league,1,65,3,1000
basketball,1,5500,24,8,knockout,0,65,1,700
basketball,2,8500,14,6,league,1,45,3,1000
basketball,2,6000,8,7,knockout,0,50,2,1250
football,3,4500,16,11,league,0,55,3,600
volleyball,2,11000,20,7,league,1,55,3,1000
volleyball,1,30000,16,8,knockout,1,55,1,2000
volleyball,3,3000,16,7,knockout,0,70,2,266
kabaddi,2,5500,8,7,league,1,50,4,500
cricket,2,8500,16,15,knockout,0,50,1,1250
badminton,1,23500,8,4,league+knockout,0,65,5,5000
volleyball,2,8500,16,6,league,0,65,3,1000
cricket,3,3500,16,11,knockout,0,60,2,500
volleyball,2,5000,16,8,league,0,75,4,500
basketball,2,5000,32,7,knockout,0,75,2,500
badminton,1,14000,12,3,league,1,40,2,2200
volleyball,1,5000,24,8,league,0,65,4,750
cricket,2,9500,8,15,league,0,40,3,2300
cricket,2,6500,6,11,league+knockout,1,45,3,2200
volleyball,1,9500,32,7,league+knockout,0,50,4,1000
badminton,2,4500,8,2,league+knockout,1,65,2,1000
volleyball,1,13500,10,6,knockout,1,60,1,2000
volleyball,1,19000,16,6,knockout,1,50,2,1500
basketball,1,19500,8,7,league,0,65,2,5000
volleyball,2,8000,32,8,league+knockout,0,60,2,600
kabaddi,2,10000,32,7,knockout,0,40,2,780
basketball,1,17000,16,5,league+knockout,0,55,3,2000
kabaddi,3,5000,8,9,league+knockout,0,70,3,800
football,2,7000,8,9,league,1,75,3,1500
cricket,1,30000,6,13,league,1,45,3,5000
cricket,1,14500,32,13,knockout,0,75,2,1700
cricket,1,18000,16,13,knockout,0,55,2,3400
cricket,1,20000,12,11,league,0,55,4,5000
cricket,2,10000,12,12,league+knockout,0,50,4,2200
basketball,1,10000,16,7,league+knockout,1,70,5,2000
cricket,3,7000,12,14,league,0,65,2,1300
badminton,2,15000,6,1,league+knockout,0,50,4,3000
cricket,2,9000,10,12,league+knockout,0,60,3,2400
cricket,1,11000,20,11,league,1,65,4,1000
cricket,2,6500,12,14,knockout,0,60,2,1000
cricket,1,21500,24,12,knockout,0,45,1,2000
badminton,3,1500,14,2,league,1,65,3,100
badminton,3,8000,4,4,league+knockout,1,70,2,1500
volleyball,1,9500,14,7,league,0,60,4,1300
kabaddi,3,2000,16,8,league,0,40,4,280
basketball,3,3000,12,6,league+knockout,0,45,3,250
kabaddi,1,12000,20,11,knockout,0,50,2,900
cricket,3,2000,8,14,knockout,0,65,1,600
basketball,2,4000,16,6,knockout,0,60,1,500
football,1,21000,10,9,knockout,0,70,1,3750
badminton,2,9500,8,1,knockout,0,45,1,1750
football,2,7000,10,9,league,0,60,4,1500
basketball,1,12500,8,5,league+knockout,0,70,4,4250
football,2,5000,8,11,knockout,0,60,2,1100
basketball,2,8500,32,7,league,0,45,3,750
badminton,1,14500,20,3,league+knockout,1,45,5,1900
badminton,1,14000,16,2,league,0,40,3,1810
kabaddi,2,5000,8,10,league,0,70,2,1000
volleyball,3,6500,8,6,league,0,60,3,1000
basketball,2,5000,16,5,league,1,55,4,700
cricket,2,6500,12,12,league+knockout,1,55,4,2000
volleyball,2,6500,16,7,league,0,55,3,900
volleyball,3,3500,8,6,league+knockout,1,60,5,750
volleyball,2,10500,24,8,league+knockout,1,65,2,800
cricket,2,13500,8,13,league+knockout,0,50,4,3000
basketball,2,9500,8,8,league,0,65,4,2850
basketball,3,3000,16,5,league,0,60,4,400
cricket,1,10500,12,13,league,0,55,2,2900
cricket,1,25000,32,15,league,0,60,2,2250
badminton,2,3000,24,4,league+knockout,0,45,5,250
basketball,3,2500,8,5,league,0,50,2,500
basketball,2,4500,12,5,knockout,1,60,1,500
football,2,15000,10,9,knockout,0,60,2,2000
volleyball,1,24500,24,6,league,0,45,2,1800
cricket,3,2500,16,15,league,0,45,4,663
badminton,2,6000,8,2,knockout,0,60,1,1000
football,3,4000,10,7,knockout,0,50,1,500
football,2,4000,24,9,knockout,0,70,1,500
basketball,2,10500,10,5,league,0,75,2,2000
football,3,4000,20,9,knockout,1,65,1,400
cricket,1,13500,8,12,league+knockout,1,75,4,5000
volleyball,3,3500,10,8,league,0,40,2,500
cricket,3,2500,12,14,league,1,75,3,364
kabaddi,2,8500,10,9,knockout,1,45,2,900
volleyball,3,5000,16,7,knockout,0,50,1,500
badminton,2,11000,16,2,league,0,50,4,1400
basketball,1,14500,10,5,league,0,75,3,2500
kabaddi,2,5000,12,11,league,0,50,4,750
cricket,2,9500,20,12,knockout,1,45,2,1000
kabaddi,2,4500,10,12,league+knockout,1,65,5,1000
basketball,3,2000,16,7,league+knockout,1,45,4,250
cricket,2,5500,14,15,league,0,60,2,1250
badminton,3,6500,16,2,knockout,0,55,2,450
volleyball,2,12000,16,6,league,1,65,4,1250
football,1,15500,20,10,league+knockout,1,70,3,2000
volleyball,2,6500,14,7,knockout,0,55,2,1000
kabaddi,1,19000,16,7,league,1,70,4,1900
kabaddi,2,6500,16,8,league,0,65,4,1000
